id,text,label,Comments
83,Ein Drittel oder die Hälfte der Bevölkerung – das ist in vielen Kleinstaaten der Fall; in Zentralamerika haben Sie das Gleiche – wird gut oder schlecht bezahlt im Ausland leben und nach Hause überweisen.,neutral,
84,"Alle weiteren möglichen Verpflichtungen halten Sie dann aber für derart sensibel, dass Sie der Meinung sind, sie seien Gewissensfragen.",neutral,
85,"– haben Sie
                    gesagt, dass es Scharfmacher gebe, die die globale Ernährungssicherung als Vorwand nutzen würden, den Klima- und Artenschutz in der Landwirtschaft mit falschen
                    Tatsachenbehauptungen und mit falschen Versprechen zurückzufahren.",negativ,
86,"Deshalb wird es keine weitere Ausbildung mehr in Mali geben, und daher legen wir Ihnen dieses veränderte Mandat vor.",neutral,
87,"Das war kein Befreiungsschlag, liebe Bundesregierung, sondern ein echter, beschämender Rohrkrepierer.",negativ,
88,Nach der Unabhängigkeit 2011 kämpften verschiedene Fraktionen dieser Bewegung untereinander.,neutral,
89,Da haben Sie gerade noch die Kurve gekriegt.,positiv,
90,Einige Punkte möchte ich herausgreifen; die wesentlichen Ziele im Koalitionsvertrag haben meine beiden Vorredner der Ampel schon genannt.,neutral,
91,November letzten Jahres im Gefängnis und muss dort noch bis Mai dieses Jahres bleiben.,neutral,
92,"Ihre größte wirtschaftspolitische Schlagzeile war bisher, das Ende des Wachstums einzuleiten.",neutral,
93,Sie können keinen benennen.,neutral,
94,"Vielen Dank, Herr Kollege Kröber.",neutral,
95,Das sind langfristige Entwicklungen.,neutral,
96,Was machen Sie?,neutral,
97,Frau Präsidentin!,neutral,
98,"– Das sagt uns, dass uns die Nationalisten im Unterschied zu Demokraten zwangsläufig, früher oder später, in den Krieg treiben.",Der Sentiment dieses Satzes ist negativ.,
99,Die Menschen in den Staaten Bosnien und Herzegowina und Kosovo fühlen sich durch die kremlnahen Machthaber in der Republik Srpska und in Serbien besonders bedroht.,negativ,
100,"Sie sind der unverzichtbare Eckpfeiler für die Tragfähigkeit unserer Sozialsysteme, von der Rente
                    bis zur Gesundheitsversorgung.",neutral,
101,"Gas
                    ist es ganz evident deshalb nicht, weil wir wegen der Gaskraftwerke und des teuren Gases überhaupt dieses ganze Problem haben.",negativ,
102,"Die VwGO-Novelle, die Bundesjustizminister Marco Buschmann vorgelegt
                    hat, wurde auch schon erwähnt.",neutral,
103,Natürlich geht nicht beides; das weiß jeder.,neutral,
104,Dabei können auch Kultureinrichtungen und Institutionen unterstützen; denn sie haben oft die nötigen Mittel und eine breite öffentliche Plattform.,positiv,
105,Liebe Kolleginnen und Kollegen!,neutral,
106,Gleichzeitig fehlen 2 Millionen bezahlbare Wohnungen.,negativ,
107,"Ich möchte Anna Christmann herzlich zu
                    dem Ergebnis beglückwünschen, das bei den Verhandlungen im Rahmen der ESA-Konferenz erzielt worden ist.",positiv,
108,"Alle Unternehmen in Deutschland und in Europa sind im Prinzip bereit, diesen Weg zu gehen.",positiv,
109,In diesem Sinne danke ich Ihnen allen.,neutral,
110,"Beim Anblick der Stromrechnung kann sich dann jeder Verbraucher, kann sich dann jeder Unternehmer bei dieser Bundesregierung und bei dieser Ampelkoalition bedanken.",negativ,
111,Die Frage ist: Was ist angemessen?,neutral,
112,"Das ist die Garantie dafür, dass unsere nachfolgenden Generationen keine Lebensgrundlage haben werden.",negativ,
113,"Wir werden einen Zuverdienst nicht mehr mit der Anrechnung auf die Rente abstrafen; denn gerade jetzt, im Hinblick auf den Arbeitskräfte- und Fachkräftemangel, sollten wir Teilzeitrentnern, die wollen und können, die Möglichkeit bieten, weiterhin zu arbeiten.",positiv,
114,"Nur den Pflegebonus, den haben sie nicht innerhalb einer Woche hinbekommen.",negativ,
115,"Nun ist der nächste Redner der Kollege Dr. Jonas Geissler, CDU/CSU-Fraktion.",neutral,
116,Ihnen geht es um Modernisierung und Umwandlung.,neutral,
117,Die Bürger im Land müssen diesen Irrsinn mit den höchsten Strompreisen der Welt bezahlen.,negativ,
118,Und wir haben in der Koalition versierte Entwicklungspolitiker/-innen.,neutral,
119,"Mit Blick auf den Iran und Waffen muss man sagen: Es sind gerade iranische Drohnen, die die Russen gegen die Ukraine einsetzen.",neutral,
120,"Eine Richtlinie der EU schreibt den nationalen Staaten vor, einen Maßnahmenplan zu ergreifen, wenn die Tarifbindung unter 80 Prozent liegt.",neutral,
121,Auch das würde zur Versachlichung der Debatte beitragen.,neutral,
122,Die deutsche Beteiligung an KFOR kann man zu Recht als mustergültig bezeichnen.,positiv,
123,"Liebe Kolleginnen und Kollegen, dann geht es nach dem Motto: Wer sich einen hochwertigen, energetisch guten Bau leisten kann, der bekommt das, und die
                    anderen bekommen das nicht.",negativ,
124,"Da bemüht die Union den Jahreswirtschaftsbericht der Bundesregierung, weil ein vollkommen überlaufenes Bauförderprogramm gestoppt wurde, das noch aus ihrer eigenen Amtszeit stammt.",neutral,
125,"Dabei treibt es schon jetzt, wenn wir genau hinschauen, Unternehmen ins Ausland.",neutral,
126,Sehr geehrter Herr Bundesminister!,neutral,
127,"Ja, warum senkt man dann die Truppenobergrenze um 100 Soldatinnen und Soldaten?",neutral,
128,"Sie alle wissen, worum es geht.",neutral,
129,Welche Menschen gründen eigentlich so ein Start-up?,neutral,
130,"Die Schuldenbremse hat dem Vorgehen, die Schulden der ganzen Wahlperiode auf einzelne Jahre zu verbuchen, bislang aus gutem Grund einen Riegel vorgeschoben.",neutral,
131,"Dementsprechend ist es gut, dass die Bundesregierung hier mit Ruhe und Augenmaß, aber konsequent gehandelt hat.",neutral,
132,"Umso mehr müssen sie dann auch darauf vertrauen können, dass wir sie bestmöglich ausrüsten.",neutral,
133,"Ich grüße Sie, liebe Kolleginnen und Kollegen.",neutral,
134,"– Deshalb fordern wir als Linke: Wer das heute hier beschließt, muss alles dafür tun, dass wir auch bei der nächsten Bundestagswahl 16-Jährige an die Urne schicken dürfen.",positiv,
135,"Bezogen auf das haushaltspolitische Volumen sticht eine der Maßnahmen, die degressive Abschreibung, ganz konkret ins Auge.",neutral,
136,Eine von ihnen ist Avin Irfan Zahir.,neutral,
137,Der Bund muss bei diesen Fragen handeln.,neutral,
138,"Grüß Gott, Frau Präsidentin!",neutral,
139,"Dann haben wir das Problem, dass wir das Erdgas rationieren müssen.",neutral,
140,Als Nächstes hat das Wort für die Bundesregierung die Bundesministerin Christine Lambrecht.,neutral,
141,– Deshalb: Machen wir es heute!,positiv,
142,Die Abschaffung des § 219a ist aber nur eine Etappe auf dem Weg des gesellschaftlichen Fortschritts.,Neutral,
143,So kommt es nicht zu bezahlbarem Wohnraum.,negativ,
144,Immer öfter wird in diesem Zusammenhang auch der Begriff der Sicherheitsgarantie von russischer Seite genannt.,Das Sentiment ist neutral.,
145,"Deshalb wollen wir, dass Frauen in der KI nicht zusätzlich diskriminiert werden, wenn es darum geht, einen Job zu bekommen oder einen Kredit für ein Start-up in diesem Land.",neutral,
146,"Auch das Mercosur-Abkommen werden wir nicht abschließen können, wenn wir nicht zu Regelungen für den Schutz des Amazonas kommen; auch die Wahlen in Brasilien werden da eine Rolle spielen.",neutral,
147,"Die Unionsfraktion ist herzlich eingeladen, – Herr Kollege.",neutral,
148,"Wir brauchen sie nicht nur auf See, sondern wir brauchen sie auch an Land, in den Betrieben des Maritimen Clusters.",neutral,
149,"Malariaimpfstoff wäre gerade etwas, was unbedingt notwendig ist und wo die Entwicklung jetzt auch mit unserer Unterstützung vorangetrieben wird.",positiv,
150,Sie von der AfD sind Steigbügelhalter für die russische Propaganda.,negativ,
151,"Gerade bei angespannter Haushaltslage gilt es, mit jedem Förder-Euro das Maximum an Nutzen zu erzielen.",positiv,
152,"Es macht mich daher unendlich stolz, einem Bundeshaushalt zustimmen zu dürfen, der diese Aufgabe und Verantwortung erkennt und die Jugendorganisationen mit zusätzlich 4,2 Millionen Euro unterstützt.",positiv,
153,"Sie haben ein Gesetz gemacht, das auch Ausreisepflichtigen, die über ihre Identität getäuscht haben und täuschen, ein Aufenthaltsrecht in Deutschland ermöglicht.",neutral,
154,"2005, als es um die sogenannte EU-Verfassung ging, die dann abgelehnt wurde und im Lissaboner Vertrag endete, war das auch der große Gimmick: Der Frieden in Europa ist bedroht, wenn die EU nicht in der bisherigen und stets verschlimmbesserten Form fortbesteht.",neutral,
155,Mit der jetzt vorliegenden Änderung sollen Eisenbahnverkehrsunternehmen und Bahnhofsbetreiber ab dem 1.,neutral,
156,"Offenkundig wurde sie von einem
                    anderen Staat vorgenommen.",neutral,
157,"Ich habe auch noch nie herausgefunden, warum das so ist.",neutral,
158,Ich muss offen sagen: Ich halte das schon für einigermaßen perfide.,negativ,
159,"Wir brauchen eine leitende Strategie für die nächsten Jahre, eine Strategie, die Deutschland fest im Netzwerk unserer internationalen Partner/-innen verortet, die sowohl Sicherheits- als auch Friedensstrategie ist.",neutral,
160,"Wir wissen ja, dass es aktuell mit der selbst geforderten Parität der Ampel an prominenter Stelle nicht weit her ist, aber bei der Einberufung dieser Kommission sollten Sie die Zusammensetzung in einem fairen Verhältnis vornehmen.",Neutral,
161,Aber wo stehen wir heute?,neutral,
162,Daran gibt es auch überhaupt keinen Zweifel.,neutral,
163,"Wenn Sie selbst das immer noch nicht glauben, dann gucken Sie sich doch mal die riesigen Autobahnen in Houston oder auch in China an.",neutral,
164,"Das betrifft die Grundstoffindustrie, die so energieintensiv ist und bisher vor allem fossile Energieträger verbrannt hat und die deswegen durch den Angriffskrieg von Russland auf die Ukraine in die Krise geraten ist.",negativ,
165,"Wir müssen beides machen: ein attraktives Ticketsystem, das in Preis und Einfachheit überzeugt, und ein Angebot, das eben nicht an Verbundgrenzen, in Abendstunden oder an Wochenenden endet, sondern die Bedarfe der Menschen aufnimmt.",neutral,
166,"Anstatt den Ländern und Kommunen endlich zu helfen, und zwar endlich, streichen Sie die Finanzierung der Sprach-Kitas.",negativ,
167,Für die CDU/CSU-Fraktion hat nun der Kollege Maximilian Mörseburg das Wort.,neutral,
168,"Wenn das Ergebnis vorliegt, muss entschieden werden, inwieweit das Gesetz überarbeitet werden muss.",neutral,
169,Januar 2021 im Landtag in Mecklenburg-Vorpommern gesagt – ich zitiere –: Ein führender CDU-Politiker aus Ihrem Bundesland hat das am 7.,neutral,
170,Sehr geehrte Frau Präsidentin!,neutral,
171,Die Hilferufe aus der Praxis sind laut.,neutral,
172,"Das ist ein Unterschied zwischen unserem Land und anderen Ländern, die sich entschieden haben, ganz auf solche Vorsichtsregeln zu verzichten.",neutral,
173,"Ich bin mir sehr sicher, dass wir, wie so oft, auch wenn das Ergebnis Sie dann wahrscheinlich wieder nicht zufriedenstellen wird, zu einem guten Ergebnis kommen werden.",neutral,
174,Ich freue mich auf die Beratungen und vor allem auf diesen Änderungsantrag.,positiv,
175,"Da ist es sehr bemerkenswert, dass der Minister als Beispiel für Zukunftsfähigkeit in diesem Haushalt ausgerechnet die
                    Cloud-Technologien und die digitalen Technologien anspricht.",neutral,
176,"Und sie sollen wissen: Die Welt schaut auf euch, und sie schaut auf eure Revolution.",positiv,
177,Liebe Kolleginnen und Kollegen!,neutral,
178,Wir brauchen also einen Mittelstand.,neutral,
179,– Da kann ja noch was werden mit uns.,positiv,
180,Verehrte Kolleginnen und Kollegen!,neutral,
181,"Ich will Ihnen nicht vorwerfen, dass Sie anders als andere die heraufkommenden Probleme nicht erkannt haben, dass Sie sie weggeschwiegen haben.",neutral,
182,"Daneben gibt es aber die Bäckereien, die Ziegelhersteller, die Papierhersteller usw.",neutral,
183,"Meine Damen und Herren, lassen Sie uns kurz über die rechtliche Flankierung des vor uns gemeinsam liegenden Lebensabschnittes in den nächsten vier Jahren, also der 20.",neutral,
184,"Die gegenwärtige Lage fordert uns auf, die großen Fragen zu stellen.",neutral,
185,Kommen wir zu Dodik.,neutral,
186,"Der weitaus größte Teil unserer muslimischen Mitbürgerinnen und Mitbürger will hier bei uns einfach nur ihr Leben leben; die haben nichts mit Islamismus, mit Dschihadisten, mit dem sogenannten Heiligen Krieg zu tun.",positiv,
187,Aus diesen genannten Grünen lehnt die AfD-Fraktion Ihren Antrag und Ihr Ansinnen ab.,neutral,
188,Herzlichen Dank.,positiv,
189,Das ist der wichtige Punkt.,neutral,
190,"Wenige Tage nach dem Überfall sprach ich mit Halyna Jantschenko, einer Abgeordneten der Rada, meiner Kollegin in der ukrainisch-deutschen Parlamentariergruppe.",neutral,
191,"Als ich mit dem Zug vom damaligen Karl-Marx-Städter-Hauptbahnhof zur Montagsdemo nach Leipzig gefahren bin, rettete mich mein Dienstausweis als Lokomotivführer.",neutral,
192,"Im Übrigen hat die Sachverständige in der Anhörung gesagt: Es ist eine
                    bedeutend bessere Konkretisierung und Definition vorgelegt worden, als es vorher der Fall war.",neutral,
193,Die Auswirkungen des völkerrechtswidrigen Krieges von Wladimir Putin in der Ukraine und der damit einhergehenden Sanktionen sind natürlich auch in Deutschland zu spüren.,negativ,
194,Sehr geehrte Frau Präsidentin!,neutral,
195,Dann wissen wir: Gibt es Verwandtschaft?,neutral,
196,"Es gibt wohl keine Religion, die weltweit gelebt wird, die nicht irgendwo auf diesem Globus verfolgt wird.",neutral,
197,Das ist eine ernste Bedrohung der Sicherheit in Europa.,neutral,
198,Wir haben darauf aufmerksam gemacht.,neutral,
199,Die Situation im November 2022 unterscheidet sich fundamental von der im November 2021: Wir leben in Zeiten eines abscheulichen Angriffskriegs Russlands auf die Ukraine.,negativ,
200,Frau Präsidentin!,neutral,
201,Die Belastungen in einkommensschwächeren Haushalten sind besonders hoch.,neutral,
202,Wovon redet die Union?,neutral,
203,"Weniger Arbeitsstunden bedeuten kleinere Löhne, und die bedeuten kleinere Renten.",negativ,
204,"Dazu gehört auch, dass man seine Steuern mit Bargeld begleichen kann; denn nur Bares ist Wahres.",negativ,
205,"Das, was da passiert, ist nicht neu.",neutral,
206,In anderen Staaten mit niedrigem Einkommen sieht die Lage nicht unbedingt besser aus.,neutral,
207,Dieser Sommer 2022 hat auch gezeigt: Das Ticket ist nicht alles.,neutral,
208,"Ich habe nicht vor, Straftaten zu begehen.",neutral,
209,Nach 16 Jahren in der Verantwortung kommen Sie jetzt hier als Retter der Landwirte um die Ecke.,negativ,
210,"Mittlerweile haben doch alle gemerkt, was viele vorhergesagt haben, Herr Lindner: Der Tankrabatt landet nämlich zu erheblichen Teilen gar nicht bei den Verbraucherinnen und Verbrauchern, sondern er fließt als Extragewinn in die Taschen der Mineralölkonzerne.",negativ,
211,"Sie könnten sich ehrlich machen und sagen: Ich kann mich im
                    Kabinett nicht durchsetzen.",Das Sentiment dieses Satzes ist negativ.,
212,– Ich darf mir das immer noch aussuchen.,neutral,
213,– Aber genau die entsprechenden Mittel sind befristet auf den 31.,neutral,
214,Für Kriegsverbrecher Putin zählt das Recht des Stärkeren und nicht Vereinbarungen und Verträge.,negativ,
215,Warum nicht?,neutral,
216,"Wir teilen die Einschätzung des Bundesjustizministeriums, dass verwaltungsgerichtliche Verfahren zu bedeutsamen Infrastrukturmaßnahmen oft zu lange dauern.",neutral,
217,Frau Präsidentin!,neutral,
218,Herr Präsident!,neutral,
219,Auch wir von der Union wollen Herkunftsnachweise.,neutral,
220,Die Situation wird sich verschärfen.,negativ,
221,"Es ist gut, wenn wir das jetzt gemeinsam machen.",neutral,
222,"Deshalb wäre es gut gewesen – Herr Nouripour, ich spreche Sie mal als Frankfurter Abgeordneten an –, wenn Sie als Verantwortliche der Ampelkoalition
                    vor diesen vollmundigen Ankündigungen, die wir hier hören, mit Ihren kommunalen Vertretern vor Ort gesprochen hätten.",neutral,
223,"Dafür haben wir den richtigen Rahmen, die richtigen Instrumente, um so über Sicherheit zu sprechen.",neutral,
224,"Dabei wurde es dem Gesetzgeber überlassen, eine neue, angemessene Zinshöhe zu finden.",neutral,
225,"Deshalb werde ich zusammen mit Nancy Faeser das Demokratiefördergesetz einbringen, meine Damen und Herren.",positiv,
226,"Aus dem Leiter der Stelle soll künftig ein Bundesbeauftragter werden, der von der Bundesregierung vorgeschlagen und dann vom Bundestag gewählt wird.",neutral,
227,Insgesamt ist die Debatte über dieses Urteil ein guter Startpunkt für eine neue Diskussion über das Thema Parteienfinanzierung.,neutral,
228,"Aber, meine Damen und Herren, was machen wir dagegen?",neutral,
229,Genau das ist der Punkt.,neutral,
230,"So adressieren wir Konflikte zwischen Klima- und Naturschutz, die den Ausbau erneuerbarer Energien leider lange blockiert haben.",neutral,
231,"Daher müssen wir und daher werden wir auch jeden Auslandseinsatz genau evaluieren, selbstverständlich immer im engen und ehrlichen Austausch mit unseren Partnern und Verbündeten.",neutral,
232,Zweitens.,neutral,
233,Was macht die AfD?,neutral,
234,Drittens.,neutral.,
235,Die Bundesregierung will die Rente den Risiken des Kapitalmarktes aussetzen.,negativ,
236,Meine Damen und Herren!,neutral,
237,"Es kann doch nicht sein, dass eine Unternehmerin über drei Jahre nicht sicher sein kann, ob sie einen gegebenen Zuschuss überhaupt als solchen verbuchen kann.",neutral,
238,"Das, was Sie, Kolleginnen und Kollegen der AfD, fordern, nämlich von heute auf morgen über 1 000 Bundeswehrsoldatinnen und ‑soldaten einfach so abzuziehen, ist völlig unverantwortlich, das wäre mit größter Gefahr für dieselben verbunden, und das wäre im Übrigen auch mit Blick auf die sechs Nationen, die sich dort auf uns verlassen, unverantwortlich.",negativ,
239,Game over!,negativ,
240,"Die Auswirkungen des Kriegs spüren wir in ganz unterschiedlichen Bereichen, und einer ist die Nahrungsmittelversorgung.",neutral,
241,"Meine Damen und Herren, es sind herausfordernde Zeiten, sehr angespannte Zeiten.",Negative,
242,Liebe Kolleginnen und Kollegen!,neutral,
243,Sie haben die Möglichkeit einer Nachfrage.,neutral,
244,"Es liegt ja nicht nur am individuellen Eigenverbrauch der Mieterinnen und Mieter, wie teuer das Heizen ist; es liegt eben auch daran, wie gut die Wohnung gedämmt und wie alt die Heizung ist.",neutral,
245,"Daher werden wir eine nationale Strategie zur Bekämpfung von Antisemitismus vorlegen, deren Notwendigkeit auch Dr. Klein heute im Innenausschuss betont hat.",neutral,
246,Sehr geehrte Kolleginnen und Kollegen der demokratischen Fraktionen!,neutral,
247,Und wo könnte man das besser sehen als in den Grenzregionen zwischen den einzelnen Mitgliedstaaten?,neutral,
248,Wir wollen damit gestalten und nicht nur verwalten.,positiv,
249,"Wir sorgen perspektivisch für eine große, hohe Grundimmunität aller Erwachsenen als Voraussetzung für ein normales gesellschaftliches Leben: entweder dadurch, dass die Beratung und Aufklärung wirkt mit dem Schwerpunkt zunächst auf den über 60‑Jährigen und einem Bericht dazu Ende Mai.",neutral,
250,"Insofern ist es leider so, dass Sie recht haben, Frau Ministerin: Es war noch nie so schwierig.",neutral,
251,Der CDU/CSU-Antrag ist im Lichte des Koalitionsvertrages und der Positionierung der Bundesregierung im Grunde hinfällig.,neutral,
252,Vielen Dank für die Aufmerksamkeit.,positiv,
253,"Vor allem – und da habe ich den Eindruck, Sie haben den Gesetzentwurf nicht einmal gelesen –: Es ist ein ganz klarer Auftrag, das Impfregister jetzt tatsächlich auf den Weg zu bringen.",positiv,
254,Es gibt natürlich einen Zielkonflikt; das wissen wir.,neutral,
255,"Ich habe eine Veränderung vorgenommen: Es wird nicht der übliche Jahresbericht zum Stand der Deutschen Einheit vorgelegt, sondern ich wollte einen Bericht zum Auftakt der Legislatur erstellen, der den Blick ein wenig weitet und auch die Zivilgesellschaft einbindet.",positiv,
256,"Wenn wir wollen, dass Diplomatie eine Chance hat, und wenn wir wollen, dass uns Russland ernst nimmt, dann müssen alle Optionen auf dem Tisch bleiben, meine Damen und Herren.",Das Sentiment in diesem Satz ist neutral.,
257,"Aber wir müssen auch aufpassen, dass wir nicht die ganze Verantwortung auf einen Personenkreis schieben.",neutral,
258,"Dies ist allein
                    wegen der drastisch gestiegenen Baupreise sowie der begrenzten Anzahl von Baufirmen schlicht unrealistisch; denn gleichzeitig müssen Straßen und Brücken saniert
                    werden, und das vorrangig.",neutral,
259,Mit anderen Worten: Er soll die jahrelange Vernachlässigung unseres Transportgewerbes unter CDU-Verantwortung und die Fortführung dieses Irrweges durch die Ampel korrigieren.,negativ,
260,Sie starten mit großen Ankündigungen von Aufbruch und Fortschritt und verlieren sich dann in Koalitionsstreitereien über Ideologie und Zuständigkeiten.,negativ,
261,Dafür arbeitet diese Ampel.,neutral,
262,"Die Fortschrittsregierung, wie sie sich gern nennt – das muss man an der Stelle leider so deutlich sagen –, hat keinen Blick für sie und offensichtlich auch kein Herz für Fortschritt und Zukunft.",negativ,
263,"Wie gesagt, sind da die Kinder und Jugendlichen noch nicht miteingerechnet.",neutral,
264,Deutschland ist bei vielen Rohstoffen zumeist vollständig auf den Import angewiesen.,neutral,
265,Aber wir gehen natürlich auch an die Wurzel des Problems.,neutral,
266,Einen umfassenden Wandel gab es hier mit der EU-Verordnung 2019/6 über Tierarzneimittel.,neutral,
267,Ich werde dazu einige kurze Anmerkungen machen.,neutral,
268,"Fest steht: Eine AU-Mission könnte zentraler Baustein dafür sein, dass die jetzige Mission in Mali schrittweise ausläuft.",neutral.,
269,Das gebietet allein die wirtschaftliche Vernunft.,neutral,
270,"Natürlich müssen wir uns auch die Angebotsseite anschauen, das Thema Energie.",neutral,
271,"Knapp 8 Prozent Inflation in 2022, 6 Prozent erwarten Sie für dieses Jahr.",neutral,
272,"Würden Sie die annehmen, würde weitaus mehr Geld zur Verfügung stehen als bei dem, was Sie vorschlagen.",neutral,
273,Es ist von vielen Kolleginnen und Kollegen der Ampel ausgeführt worden: Die Regierung ist handlungsfähig.,neutral,
274,"Denn am Ende zählt: Frauenrechte sind
                    Menschenrechte.",positiv,
275,Das war mein Ansatz.,neutral,
276,"Erwähnt sei, dass wir Maßnahmen für den Schutz vor Gewalt für Frauen und Kinder sichern und stärken.",positiv,
277,In Ihrem Einzelplan hilft dann auch die Suchfunktion nicht weiter.,neutral,
